Row,Var1
Rv0001,54.2168674705897
Rv0117,99.9999999999563
Rv0182c,100.000000000107
Rv0212c,74.4556819211467
Rv0260c,99.9999999999563
Rv0348,44.1176470733014
Rv0353,99.9999999999563
Rv0445c,99.9999999999563
Rv0465c,99.9999999999563
Rv0485,80.5825242731301
Rv0491,28.6585365855148
Rv0494,44.1176470588491
Rv0576,99.9999999999563
Rv0586,99.9999999999563
Rv0602c,99.999999999953
Rv0757,35.0746268840524
Rv0792c,99.9999999999563
Rv0818,99.9999999999563
Rv0823c,99.9999999999563
Rv0844c,100.000000000062
Rv0981,44.6088506727168
Rv1027c,99.9999999999563
Rv1033c,99.9999999999563
Rv1221,29.5081967299656
Rv1267c,99.9999999999558
Rv1287,99.9999999999563
Rv1316c,99.9999999999563
Rv1359,99.9999999999563
Rv1379,90.1316672211043
Rv1395,59.4390517051406
Rv1475c,82.5828468889152
Rv1657,56.3106796382918
Rv1675c,99.9999999999563
Rv1785c,99.9999999999563
Rv1846c,73.7500000009662
Rv1909c,99.9999999999563
Rv1931c,97.0799202243842
Rv1956,99.9999999999563
Rv1963c,82.9059829079601
Rv1985c,92.2973009525687
Rv1994c,99.9999999999563
Rv2017,99.9999999999563
Rv2021c,99.9999999999563
Rv2034,99.9999999999563
Rv2069,46.0732984364873
Rv2166c,18.627450980403
Rv2175c,99.9999999999563
Rv2213,86.5257414298711
Rv2359,34.1189204239397
Rv2374c,99.9999999999563
Rv2704,99.9999999999563
Rv2710,16.6666666690634
Rv2711,61.7647058831624
Rv2718c,91.3043480979899
Rv2720,78.5123966942604
Rv2745c,99.9999999999563
Rv2788,99.9999999999563
Rv3002c,73.4423657962875
Rv3003c,93.8500544493918
Rv3080c,99.9999999999563
Rv3082c,99.9999999999563
Rv3133c,100.000000000059
Rv3164c,99.9999999999563
Rv3223c,10.000000001438
Rv3246c,99.9999999999563
Rv3279c,99.9999999999637
Rv3286c,33.8235294160291
Rv3291c,50.0000000278534
Rv3328c,99.9999999999563
Rv3334,99.9999999999484
Rv3414c,99.9999999999563
Rv3416,99.9499903460383
Rv3557c,99.6654658356864
Rv3574,99.9999999999563
Rv3575c,20.5438066467414
Rv3676,26.6666666708154
Rv3678c,99.9999999999563
Rv3681c,99.9999999999563
Rv3692,99.9999999999563
Rv3744,99.9999999999563
Rv3849,99.9999999999563
Rv3911,13.1868131887095
