u_z_regulator,Var2
Rv0001,0.0128588521489484
Rv0117,0.0165647019001651
Rv0182c,0.0165243368385576
Rv0212c,0.0165605686602507
Rv0260c,0.0165647019001651
Rv0348,0.010741173888416
Rv0353,0.0165647019001651
Rv0445c,0.0165647019001651
Rv0465c,0.0165647019001651
Rv0485,0.00804838623494301
Rv0491,0.0100427112572893
Rv0494,0.0109412606647129
Rv0576,0.0165647019001651
Rv0586,0.0165647019001651
Rv0602c,0.0165647019001651
Rv0757,0.00880821450249147
Rv0792c,0.0165647019001651
Rv0818,0.0165647019001651
Rv0823c,0.0165647019001651
Rv0844c,0.016564701900186
Rv0981,0.00995769829490292
Rv1027c,0.0165647019001651
Rv1033c,0.0165647019001651
Rv1221,0.010198535396018
Rv1267c,0.0165647019001763
Rv1287,0.0165647019002285
Rv1316c,0.0165647019001651
Rv1359,0.0165647019001651
Rv1379,0.0105678604527908
Rv1395,0.011948309567363
Rv1475c,0.00473585420706548
Rv1657,0.00745845216449149
Rv1675c,0.0165647019001651
Rv1785c,0.0120041668836222
Rv1846c,0.00753654683611346
Rv1909c,0.016563919869439
Rv1931c,0.0165352500664932
Rv1956,0.0165647019001651
Rv1963c,0.0111211779542031
Rv1985c,0.0101792159069304
Rv1994c,0.0165647019001651
Rv2017,0.0165647019001651
Rv2021c,0.0165647019001651
Rv2034,0.0165647019001651
Rv2069,0.010450214651481
Rv2166c,0.00844196799196887
Rv2175c,0.0165647019001651
Rv2213,0.0101505504125334
Rv2359,0.00357634797736251
Rv2374c,0.0165647019001651
Rv2704,0.0165647019001651
Rv2710,0.005636984099205
Rv2711,0.00787196419131492
Rv2718c,0.0165647019001942
Rv2720,0.0165327832074848
Rv2745c,0.0165647019001651
Rv2788,0.0165647019001651
Rv3002c,0.0165647019001057
Rv3003c,0.0165647019001057
Rv3080c,0.0165647019001651
Rv3082c,0.0165647019001651
Rv3133c,0.0165647019002002
Rv3164c,0.0165647019001651
Rv3223c,0.00826568626047772
Rv3246c,0.0165647019001651
Rv3279c,0.0165647019001081
Rv3286c,0.0109796683093332
Rv3291c,0.00861554897683224
Rv3328c,0.0165647019001651
Rv3334,0.0165647019001651
Rv3414c,0.0165647019001651
Rv3416,0.0165647019001651
Rv3557c,0.0165647019001651
Rv3574,0.0165647019001651
Rv3575c,0.00881274780910541
Rv3676,0.00480271112700614
Rv3678c,0.0165647019001651
Rv3681c,0.0165647019001651
Rv3692,0.0165647019001651
Rv3744,0.0165647019001651
Rv3849,0.0165647019001651
Rv3911,0.0103529386876299
