u_z_regulator,Var2
Rv0001,0.0263126987161581
Rv0117,0.0485323109645354
Rv0182c,0.0484649313686841
Rv0212c,0.0325677349836306
Rv0260c,0.0485323109645354
Rv0348,0.021411313662076
Rv0353,0.0485323109645354
Rv0445c,0.0485323109645354
Rv0465c,0.0485323109645354
Rv0485,0.0391085612631668
Rv0491,0.0139086500928014
Rv0576,0.0485323109645354
Rv0586,0.0485323109645354
Rv0757,0.0170225269816378
Rv0818,0.0485323109645354
Rv0823c,0.0485323109645354
Rv0844c,0.0485323109645354
Rv0981,0.0155412456475343
Rv1027c,0.0485323109645354
Rv1221,0.0143210097941576
Rv1267c,0.0485323109644944
Rv1316c,0.0485323109645354
Rv1359,0.0485323109645354
Rv1379,0.0254216866958348
Rv1395,0.0262551846220214
Rv1657,0.0273288741379796
Rv1675c,0.0485323109645354
Rv1785c,0.0485323109645354
Rv1846c,0.0357925793357369
Rv1909c,0.0485272076458445
Rv1931c,0.0483752695708525
Rv1956,0.0485323109645354
Rv1963c,0.0402361894321307
Rv2017,0.0485323109645354
Rv2021c,0.0485323109645354
Rv2034,0.0485323109645354
Rv2069,0.0223604364665721
Rv2175c,0.0485323109645354
Rv2359,0.0485323109645354
Rv2374c,0.0485323109645354
Rv2710,0.00808871849450251
Rv2711,0.0299758391249549
Rv2720,0.0485323109645354
Rv2745c,0.0485323109645354
Rv3080c,0.0485323109645354
Rv3082c,0.0485323109645354
Rv3133c,0.0485323109644101
Rv3164c,0.0485323109645354
Rv3223c,0.0363437724261909
Rv3279c,0.0485323109645192
Rv3286c,0.0164153404740932
Rv3291c,0.0242661554847747
Rv3328c,0.0485323109645354
Rv3334,0.0485323109645354
Rv3414c,0.0485323109645354
Rv3416,0.0485307068397295
Rv3557c,0.0485323109645354
Rv3574,0.0485323109645354
Rv3575c,0.0099703841259433
Rv3676,0.0129419495912584
Rv3678c,0.0485323109645354
Rv3681c,0.0485323109645354
Rv3692,0.0485323109645354
Rv3744,0.0485323109645354
Rv3849,0.0485323109645354
Rv3911,0.00639986518246353
