Row,Var1
Rv0001,54.216867469451
Rv0117,99.8838879423635
Rv0182c,100.000000000009
Rv0212c,67.1052631579324
Rv0260c,100.000000000165
Rv0348,44.1176470647273
Rv0353,100.000000000165
Rv0445c,99.9096514080755
Rv0465c,100.000000000165
Rv0485,80.5825242727494
Rv0491,28.6585365857608
Rv0576,100.000000000165
Rv0586,100.000000000165
Rv0757,35.074626870219
Rv0818,100.000000000165
Rv0823c,99.9427891317945
Rv0844c,100.000000000165
Rv0981,32.0224719145552
Rv1027c,100.000000000165
Rv1221,29.508196730882
Rv1267c,99.9999999999351
Rv1316c,100.000000000165
Rv1359,99.9646501953185
Rv1379,52.3809523817062
Rv1395,54.0983606651335
Rv1657,56.3106796310431
Rv1675c,100.000000000165
Rv1785c,100.000000000165
Rv1846c,73.7500000000625
Rv1909c,99.9894350530675
Rv1931c,99.5360568002179
Rv1956,99.8880336655003
Rv1963c,82.9059829060536
Rv2017,100.000000000165
Rv2021c,99.9374706074187
Rv2034,99.7944569532307
Rv2069,46.0732984391467
Rv2175c,100.000000000165
Rv2359,100.000000000165
Rv2374c,100.000000000165
Rv2710,16.6666666666809
Rv2711,61.7647058811924
Rv2720,100.000000000165
Rv2745c,100.000000000165
Rv3080c,100.000000000165
Rv3082c,100.000000000165
Rv3133c,99.8614499684151
Rv3164c,100.000000000165
Rv3223c,68.0000000060526
Rv3279c,100.000000000077
Rv3286c,33.8235294159076
Rv3291c,50.000000026791
Rv3328c,100.000000000165
Rv3334,100.000000000165
Rv3414c,100.000000000165
Rv3416,99.8895106255639
Rv3557c,100.000000000165
Rv3574,91.8634306049191
Rv3575c,20.5438066464061
Rv3676,26.6666666723546
Rv3678c,100.000000000165
Rv3681c,100.000000000165
Rv3692,100.000000000165
Rv3744,100.000000000165
Rv3849,100.000000000165
Rv3911,13.1868131868244
