Row,Var1
Rv0001,77.6280323446488
Rv0117,99.9999999992723
Rv0182c,99.7563188159317
Rv0212c,99.9750479057227
Rv0260c,99.9999999992723
Rv0348,64.8437499996955
Rv0353,99.9999999992723
Rv0445c,99.9999999992723
Rv0465c,99.9999999992723
Rv0485,48.587570626938
Rv0491,60.627177702192
Rv0576,99.9999999992723
Rv0586,99.9999999992723
Rv0757,53.1746031743535
Rv0818,99.9999999992723
Rv0823c,99.9999999992723
Rv0844c,99.9999999991094
Rv0981,60.1139601234311
Rv1027c,99.9999999992723
Rv1221,61.5678776316654
Rv1267c,99.9999999993399
Rv1316c,99.9999999992723
Rv1359,99.9999999992723
Rv1379,63.7974683541308
Rv1395,99.999999999555
Rv1657,45.0261780102598
Rv1675c,99.9999999992723
Rv1785c,72.4683544315109
Rv1846c,45.4976303315396
Rv1909c,99.9952789319643
Rv1931c,99.822201244733
Rv1956,99.9999999992723
Rv1963c,67.1378091869639
Rv2017,99.9999999992723
Rv2021c,99.9999999992723
Rv2034,99.9999999992723
Rv2069,63.0872485021951
Rv2175c,99.9999999992723
Rv2359,99.9999999997054
Rv2374c,99.9999999992723
Rv2710,52.1042084165888
Rv2711,47.522522522299
Rv2720,99.9999999992723
Rv2745c,99.9999999992723
Rv3080c,99.9999999992723
Rv3082c,99.9999999992723
Rv3133c,99.9999999994842
Rv3164c,99.9999999992723
Rv3223c,49.8993963805361
Rv3279c,99.9999999989286
Rv3286c,75.0957854402604
Rv3291c,52.0114942526294
Rv3328c,99.9999999992723
Rv3334,99.9999999992723
Rv3414c,99.9999999992723
Rv3416,99.9999999992723
Rv3557c,99.9999999992723
Rv3574,99.9999999992723
Rv3575c,53.2019704438718
Rv3676,28.993646586073
Rv3678c,99.9999999992723
Rv3681c,99.9999999992723
Rv3692,99.9999999992723
Rv3744,99.9999999992723
Rv3849,99.9999999992723
Rv3911,62.4999999997065
