regulator,Var2
Rv0001,0.0283010123030596
Rv0117,0.052199227841364
Rv0212c,0.052199227841364
Rv0353,0.052199227841364
Rv0485,0.0420634554449826
Rv0491,0.052199227841364
Rv0586,0.052199227841364
Rv0844c,0.052199227841364
Rv1027c,0.052199227841364
Rv1221,0.0521992278411458
Rv1267c,0.00136798905608755
Rv1395,9.1461183873564e-06
Rv1657,0.0354752033873347
Rv1785c,0.052199227841364
Rv1909c,0.052199227841364
Rv1931c,0.0521992461281581
Rv2069,8.45859096791656e-06
Rv2359,0.0521992278413386
Rv2711,4.22815102639413e-06
Rv2720,0.052199227841364
Rv3080c,0.052199227841364
Rv3133c,3.20215184604054e-05
Rv3223c,2.84442696706814e-06
Rv3279c,0.052199227841364
Rv3286c,0.052199227841364
Rv3291c,0.026099613920682
Rv3414c,1.2522070148637e-05
Rv3574,0.052199227841364
Rv3575c,-0
Rv3676,1.15207403105305e-06
