regulator,Var2
Rv0001,0.0283007861793551
Rv0117,0.0521992026456514
Rv0212c,0.0521992026456514
Rv0353,0.0521992026456514
Rv0485,0.0420634554449826
Rv0491,0.0521992026456514
Rv0586,0.0521992026456514
Rv0844c,0.0521992026456514
Rv1027c,0.0521992026456514
Rv1221,0
Rv1267c,0.052199202645571
Rv1395,9.14611838735641e-06
Rv1657,0.0354752033873347
Rv1785c,0.0521992026456514
Rv1909c,0.0521992026456514
Rv1931c,0.0521992026455252
Rv2069,0
Rv2359,0.0521992459757887
Rv2711,3.99498131578022e-06
Rv2720,0.0521992026456514
Rv3080c,0.0521992026456514
Rv3133c,3.20215184604054e-05
Rv3223c,5.97817614910645e-32
Rv3279c,0.0521992026456514
Rv3286c,0.0521992026456514
Rv3291c,0.026099613920682
Rv3414c,1.2522070148637e-05
Rv3574,0.0521992026456514
Rv3575c,0.0107237084389581
Rv3676,1.15406302554406e-06
