u_z_regulator,Var2
Rv0001,0.00898086247601627
Rv0117,0.0165647019001651
Rv0182c,0.0165384944228595
Rv0212c,0.0165647019002046
Rv0260c,0.0165647019001651
Rv0348,0.00803875239274792
Rv0353,0.0165647019001651
Rv0445c,0.0165647019001651
Rv0465c,0.0165647019001651
Rv0485,0.013348254929826
Rv0491,0.00474720115431093
Rv0494,0.00730795672067993
Rv0576,0.0165647019001651
Rv0586,0.0165647019001651
Rv0602c,0.0165647019002286
Rv0757,0.00581000738406938
Rv0792c,0.0165647019001651
Rv0818,0.0165647019001651
Rv0823c,0.0165647019001651
Rv0844c,0.0165647019001643
Rv0981,0.00530442701483148
Rv1027c,0.0165647019001651
Rv1033c,0.0165647019001651
Rv1221,0.00488794482301215
Rv1267c,0.0165647019001786
Rv1287,0.0165647019001651
Rv1316c,0.0165647019001651
Rv1359,0.0165647019001651
Rv1379,0.00867674861439458
Rv1395,0.00896123217552229
Rv1475c,0.00473585420706548
Rv1657,0.00337726931945985
Rv1675c,0.0165647019001651
Rv1785c,0.0165647019001651
Rv1846c,0.0122164676514032
Rv1909c,0.0165630701531543
Rv1931c,0.0164857415435691
Rv1956,0.0165647019001651
Rv1963c,0.0137331289258133
Rv1985c,0.0140976186384747
Rv1994c,0.0165647019001651
Rv2017,0.0165647019001651
Rv2021c,0.0165647019001651
Rv2034,0.0165647019001651
Rv2069,0.00763190456222675
Rv2166c,0.00649596152949327
Rv2175c,0.0165647019001651
Rv2213,0.00831916139877105
Rv2359,0.00544268776721115
Rv2374c,0.0165647019001651
Rv2704,0.0165647019001651
Rv2710,0.00517646934381495
Rv2711,0.0102311394089519
Rv2718c,0.0165647019003022
Rv2720,0.0165647019001904
Rv2745c,0.0165647019001651
Rv2788,0.0165647019001651
Rv3002c,0.00970457283042479
Rv3003c,0.0154732292943802
Rv3080c,0.0165647019001651
Rv3082c,0.0165647019001651
Rv3133c,0.0165647019001136
Rv3164c,0.0165647019001651
Rv3223c,0.0112639972922494
Rv3246c,0.0165647019001651
Rv3279c,0.0165647019001081
Rv3286c,0.00560276681918795
Rv3291c,0.00828235095010392
Rv3328c,0.0165647019001651
Rv3334,0.0165647019002431
Rv3414c,0.0165647019001651
Rv3416,0.016564188993598
Rv3557c,0.0165647019001651
Rv3574,0.0165647019001651
Rv3575c,0.00340302032976159
Rv3676,0.00579764566534551
Rv3678c,0.0165647019001651
Rv3681c,0.0165647019001651
Rv3692,0.0165647019001651
Rv3744,0.0165647019001651
Rv3849,0.0165647019001651
Rv3911,0.0165647019002185
