Row,Var1
Rv0001,54.2168674696248
Rv0117,99.9999999992723
Rv0182c,99.8417872076186
Rv0212c,99.9999999995111
Rv0260c,99.9999999992723
Rv0348,48.529411764478
Rv0353,99.9999999992723
Rv0445c,99.9999999992723
Rv0465c,99.9999999992723
Rv0485,80.58252427468
Rv0491,28.6585365851291
Rv0494,44.1176470586164
Rv0576,99.9999999992723
Rv0586,99.9999999992723
Rv0602c,99.9999999996561
Rv0757,35.0746268725138
Rv0792c,99.9999999992723
Rv0818,99.9999999992723
Rv0823c,99.9999999992723
Rv0844c,99.9999999992676
Rv0981,32.0224719210916
Rv1027c,99.9999999992723
Rv1033c,99.9999999992723
Rv1221,29.5081967211729
Rv1267c,99.9999999993542
Rv1287,99.9999999992723
Rv1316c,99.9999999992723
Rv1359,99.9999999992723
Rv1379,52.3809523807064
Rv1395,54.0983606554838
Rv1475c,28.5900358217966
Rv1657,20.3883495144674
Rv1675c,99.9999999992723
Rv1785c,99.9999999992723
Rv1846c,73.7499999996532
Rv1909c,99.9901492514558
Rv1931c,99.5233215955723
Rv1956,99.9999999992723
Rv1963c,82.9059829055937
Rv1985c,85.1063829783238
Rv1994c,99.9999999992723
Rv2017,99.9999999992723
Rv2021c,99.9999999992723
Rv2034,99.9999999992723
Rv2069,46.07329856081
Rv2166c,39.2156862743257
Rv2175c,99.9999999992723
Rv2213,50.2222222219864
Rv2359,32.8571428569886
Rv2374c,99.9999999992723
Rv2704,99.9999999992723
Rv2710,31.2499999998533
Rv2711,61.764705882063
Rv2718c,100.0000000001
Rv2720,99.9999999994251
Rv2745c,99.9999999992723
Rv2788,99.9999999992723
Rv3002c,58.5858585855835
Rv3003c,93.4108527127397
Rv3080c,99.9999999992723
Rv3082c,99.9999999992723
Rv3133c,99.9999999989615
Rv3164c,99.9999999992723
Rv3223c,68.0000000003329
Rv3246c,99.9999999992723
Rv3279c,99.9999999989286
Rv3286c,33.8235294116059
Rv3291c,49.9999999997653
Rv3328c,99.9999999992723
Rv3334,99.9999999997432
Rv3414c,99.9999999992723
Rv3416,99.9969036165532
Rv3557c,99.9999999992723
Rv3574,99.9999999992723
Rv3575c,20.5438066452793
Rv3676,35.0000000014823
Rv3678c,99.9999999992723
Rv3681c,99.9999999992723
Rv3692,99.9999999992723
Rv3744,99.9999999992723
Rv3849,99.9999999992723
Rv3911,99.999999999595
