Row,Var1
Rv0001,4.17287434083768e-13
Rv0117,9.28524153326967e-11
Rv0182c,14.4886907359027
Rv0212c,-1.01602336700528e-09
Rv0260c,9.28524153326967e-11
Rv0348,41.9565632320327
Rv0353,9.28524153326967e-11
Rv0445c,9.28524153326967e-11
Rv0465c,9.28524153326967e-11
Rv0485,1.19224981166791e-14
Rv0491,-3.31821006334354e-10
Rv0576,9.28524153326967e-11
Rv0586,9.28524153326967e-11
Rv0757,-1.63576674160837e-11
Rv0818,9.28524153326967e-11
Rv0823c,9.28524153326967e-11
Rv0844c,9.28524153326967e-11
Rv0981,-4.88226297878009e-12
Rv1027c,9.28524153326967e-11
Rv1221,15.0001706990322
Rv1267c,53.5113205675371
Rv1316c,9.28524153326967e-11
Rv1359,9.28524153326967e-11
Rv1379,4.17287434083768e-14
Rv1395,-4.76899924667163e-14
Rv1657,0
Rv1675c,9.28524153326967e-11
Rv1785c,9.28524153326967e-11
Rv1846c,73.7168923195492
Rv1909c,-4.12518434837096e-12
Rv1931c,1.53323325780493e-11
Rv1956,9.28524153326967e-11
Rv1963c,0
Rv2017,9.28524153326967e-11
Rv2021c,9.28524153326967e-11
Rv2034,9.28524153326967e-11
Rv2069,5.96124905833954e-15
Rv2175c,9.28524153326967e-11
Rv2359,9.28524153326967e-11
Rv2374c,9.28524153326967e-11
Rv2710,-5.96124905833954e-15
Rv2711,-3.81519939733731e-13
Rv2720,9.28524153326967e-11
Rv2745c,9.28524153326967e-11
Rv3080c,9.28524153326967e-11
Rv3082c,9.28524153326967e-11
Rv3133c,8.6116203896773e-11
Rv3164c,9.28524153326967e-11
Rv3223c,-2.40834461956918e-12
Rv3279c,-1.41913495082831e-10
Rv3286c,2.20489209458918
Rv3291c,42.1672720138918
Rv3328c,9.28524153326967e-11
Rv3334,9.28524153326967e-11
Rv3414c,9.28524153326967e-11
Rv3416,-8.26229119485861e-12
Rv3557c,9.28524153326967e-11
Rv3574,-1.23993980413463e-11
Rv3575c,-4.93561615785222e-10
Rv3676,2.98062452916977e-15
Rv3678c,9.28524153326967e-11
Rv3681c,9.28524153326967e-11
Rv3692,9.28524153326967e-11
Rv3744,9.28524153326967e-11
Rv3849,9.28524153326967e-11
Rv3911,-2.98062452916977e-15
