u_z_regulator,Var2
Rv0001,0.0376746780539994
Rv0117,0.0485323109645354
Rv0182c,0.0484285321267497
Rv0212c,0.0299595814793377
Rv0260c,0.0485323109645354
Rv0348,0.0314701703910616
Rv0353,0.0485323109645354
Rv0445c,0.0485323109645354
Rv0465c,0.0485323109645354
Rv0485,0.0235806708654402
Rv0491,0.0248580129343248
Rv0494,0.0308027951509186
Rv0576,0.0485323109645354
Rv0586,0.0485323109645354
Rv0602c,0.0485323109645354
Rv0757,0.0258068637674289
Rv0792c,0.0485323109645354
Rv0818,0.0485323109645354
Rv0823c,0.0485323109645354
Rv0844c,0.0296473531415113
Rv0981,0.0253138007806403
Rv1027c,0.0485323109645354
Rv1033c,0.0485323109645354
Rv1221,0.0298803138329616
Rv1267c,0.0485323109644947
Rv1287,0.0236929392110298
Rv1316c,0.0485323109645354
Rv1359,0.0485323109645354
Rv1379,0.0309623857294967
Rv1395,0.0350069128268732
Rv1475c,0.0355502172504757
Rv1657,0.0218522447295742
Rv1675c,0.0485323109645354
Rv1785c,0.0467732777807985
Rv1846c,0.0220810514347513
Rv1909c,0.0485298651489922
Rv1931c,0.0484737352790046
Rv1956,0.0485323109645354
Rv1963c,0.0325835303295423
Rv1985c,0.0298237103666817
Rv1994c,0.0485323109645354
Rv2017,0.0485323109645354
Rv2021c,0.0485323109645354
Rv2034,0.0485323109645354
Rv2069,0.0306176995363663
Rv2166c,0.0191219383671805
Rv2175c,0.0485323109645354
Rv2213,0.029739724388257
Rv2359,0.02607107613797
Rv2374c,0.0485323109645354
Rv2704,0.0485323109645354
Rv2710,0.0224668613960065
Rv2711,0.0230637784082753
Rv2718c,0.0485323109644424
Rv2720,0.0274471121934226
Rv2745c,0.0485323109645354
Rv2788,0.0485323109645354
Rv3002c,0.0485323109644636
Rv3003c,0.0485323109644636
Rv3080c,0.0481371390905909
Rv3082c,0.0485323109645354
Rv3133c,0.0485323109644064
Rv3164c,0.0485323109645354
Rv3223c,0.0294494004008287
Rv3246c,0.0485323109645354
Rv3279c,0.0485323109645192
Rv3286c,0.032168926424913
Rv3291c,0.0252423801286663
Rv3328c,0.0485323109645354
Rv3334,0.0485323109645354
Rv3414c,0.0485323109645354
Rv3416,0.0485323109645354
Rv3557c,0.0485323109645354
Rv3574,0.0485323109645354
Rv3575c,0.0258201457347824
Rv3676,0.0249516401010112
Rv3678c,0.0485323109645354
Rv3681c,0.0485323109645354
Rv3692,0.0485323109645354
Rv3744,0.0485323109645354
Rv3849,0.0485323109645354
Rv3911,0.0303326943528305
