u_z_regulator,Var2
Rv0001,0.045335054759376
Rv0117,0.0584003656764067
Rv0182c,0.0584003656764076
Rv0212c,0.0360512507934091
Rv0260c,0.0584003656764067
Rv0348,0.037868987119095
Rv0353,0.0584003656764067
Rv0445c,0.0583181909077208
Rv0465c,0.0584003656764067
Rv0485,0.0283753189189535
Rv0491,0.0299123824195991
Rv0494,0.0370659147466197
Rv0576,0.0584003656764067
Rv0586,0.0584003656764067
Rv0602c,0.0584003656764067
Rv0757,0.0310541627082087
Rv0792c,0.0584003656764067
Rv0818,0.0583136206642877
Rv0823c,0.0584003656764067
Rv0844c,0.0356755371914167
Rv0981,0.0296161398651508
Rv1027c,0.0584003656764067
Rv1033c,0.0584003656764067
Rv1221,0.035955865718208
Rv1267c,0.0584003656762708
Rv1287,0.0285104147396404
Rv1316c,0.0584003656764067
Rv1359,0.0583389715013329
Rv1379,0.0372579548121014
Rv1395,0.0421248539304893
Rv1475c,1.24731414656133e-06
Rv1657,0.0262954526172374
Rv1675c,0.0584003656764067
Rv1785c,0.0568602715370967
Rv1846c,0.0265707824879177
Rv1909c,0.0583974086587938
Rv1931c,0.058348716461987
Rv1956,0.0583484910475887
Rv1963c,0.039208726072468
Rv1985c,0.0358877530618374
Rv1994c,0.0584003656764067
Rv2017,0.0584003656764067
Rv2021c,0.0583123900232719
Rv2034,0.0583098393633504
Rv2069,0.0368431837231148
Rv2166c,0.0230099941851184
Rv2175c,0.0584003656764067
Rv2213,0.0357866902461086
Rv2359,0.0313720972641604
Rv2374c,0.0584003656764067
Rv2704,0.0584003656764067
Rv2710,0.0270350390206215
Rv2711,0.0277533269324695
Rv2718c,0.0584003656762602
Rv2720,0.033027922161537
Rv2745c,0.0584003656764067
Rv2788,0.0584003656764067
Rv3002c,0.0584003656762045
Rv3003c,0.0584003656762045
Rv3080c,0.0584003656764067
Rv3082c,0.0584003656764067
Rv3133c,0.058321745541428
Rv3164c,0.0584003656764067
Rv3223c,0.029141429958468
Rv3246c,0.0584003656764067
Rv3279c,0.0584003656763557
Rv3286c,0.0387098209277898
Rv3291c,0.0303749028445449
Rv3328c,0.0584003656764067
Rv3334,0.0583008927348267
Rv3414c,0.0584003656764067
Rv3416,0.0583012154360087
Rv3557c,0.0584003656764067
Rv3574,0.0581694812930569
Rv3575c,0.0310701452858449
Rv3676,0.0300250467667789
Rv3678c,0.0584003656764067
Rv3681c,0.0584003656764067
Rv3692,0.0584003656764067
Rv3744,0.0584003656764067
Rv3849,0.0584003656764067
Rv3911,0.0365002285485253
